lemma;frequency;rank;relative_freq;cumulative_freq
онтология;22;219;0.07637828079433412;10974
область;21;220;0.07290654075822801;10995
state;21;221;0.07290654075822801;11016
режим;21;222;0.07290654075822801;11037
new;21;223;0.07290654075822801;11058
three;21;224;0.07290654075822801;11079
контракт;21;225;0.07290654075822801;11100
part;20;226;0.06943480072212194;11120
россия;20;227;0.06943480072212194;11140
требование;20;228;0.06943480072212194;11160
ключевой;20;229;0.06943480072212194;11180
internet;20;230;0.06943480072212194;11200
уровень;20;231;0.06943480072212194;11220
децентрализованный;20;232;0.06943480072212194;11240
разработка;20;233;0.06943480072212194;11260
существовать;20;234;0.06943480072212194;11280
bitcoin;20;235;0.06943480072212194;11300
любой;20;236;0.06943480072212194;11320
менее;20;237;0.06943480072212194;11340
latency;20;238;0.06943480072212194;11360
bft;20;239;0.06943480072212194;11380
request;20;240;0.06943480072212194;11400
знак;20;241;0.06943480072212194;11420
proposed;19;242;0.06596306068601583;11439
исследование;19;243;0.06596306068601583;11458
скорость;19;244;0.06596306068601583;11477
throughput;19;245;0.06596306068601583;11496
цель;19;246;0.06596306068601583;11515
проверка;19;247;0.06596306068601583;11534
class;19;248;0.06596306068601583;11553
overhead;19;249;0.06596306068601583;11572
open;19;250;0.06596306068601583;11591
отрезок;19;251;0.06596306068601583;11610
словарь;19;252;0.06596306068601583;11629
аналитический;19;253;0.06596306068601583;11648
семантический;19;254;0.06596306068601583;11667
authority;18;255;0.06249132064990974;11685
large;18;256;0.06249132064990974;11703
счёт;18;257;0.06249132064990974;11721
объём;18;258;0.06249132064990974;11739
первый;18;259;0.06249132064990974;11757
development;18;260;0.06249132064990974;11775
децентрализация;18;261;0.06249132064990974;11793
show;18;262;0.06249132064990974;11811
past;18;263;0.06249132064990974;11829
improve;18;264;0.06249132064990974;11847
commit;18;265;0.06249132064990974;11865
preparation;18;266;0.06249132064990974;11883
информационно;18;267;0.06249132064990974;11901
access;17;268;0.059019580613803635;11918
pdf;17;269;0.059019580613803635;11935
представить;17;270;0.059019580613803635;11952
известный;17;271;0.059019580613803635;11969
candidate;17;272;0.059019580613803635;11986
city;17;273;0.059019580613803635;12003
современный;17;274;0.059019580613803635;12020
автор;17;275;0.059019580613803635;12037
средство;17;276;0.059019580613803635;12054
часть;17;277;0.059019580613803635;12071
однако;17;278;0.059019580613803635;12088
привести;17;279;0.059019580613803635;12105
организация;17;280;0.059019580613803635;12122
one;17;281;0.059019580613803635;12139
within;17;282;0.059019580613803635;12156
report;17;283;0.059019580613803635;12173
ratio;17;284;0.059019580613803635;12190
grouping;17;285;0.059019580613803635;12207
иас;17;286;0.059019580613803635;12224
программа;17;287;0.059019580613803635;12241
lock;17;288;0.059019580613803635;12258
height;17;289;0.059019580613803635;12275
препинание;17;290;0.059019580613803635;12292
nature;16;291;0.05554784057769754;12308
paper;16;292;0.05554784057769754;12324
доверенный;16;293;0.05554784057769754;12340
iot;16;294;0.05554784057769754;12356
машинный;16;295;0.05554784057769754;12372
ных;16;296;0.05554784057769754;12388
подход;16;297;0.05554784057769754;12404
тип;16;298;0.05554784057769754;12420
момент;16;299;0.05554784057769754;12436
current;16;300;0.05554784057769754;12452
performance;16;301;0.05554784057769754;12468
выбор;16;302;0.05554784057769754;12484
компания;16;303;0.05554784057769754;12500
платформа;16;304;0.05554784057769754;12516
processing;16;305;0.05554784057769754;12532
lexical;16;306;0.05554784057769754;12548
structure;16;307;0.05554784057769754;12564
total;16;308;0.05554784057769754;12580
round;16;309;0.05554784057769754;12596
орган;16;310;0.05554784057769754;12612
либо;16;311;0.05554784057769754;12628
спектр;16;312;0.05554784057769754;12644
resource;15;313;0.052076100541591445;12659
чейн;15;314;0.052076100541591445;12674
russia;15;315;0.052076100541591445;12689
обеспечивать;15;316;0.052076100541591445;12704
рамка;15;317;0.052076100541591445;12719
реализация;15;318;0.052076100541591445;12734
реализовать;15;319;0.052076100541591445;12749
выполняться;15;320;0.052076100541591445;12764
study;15;321;0.052076100541591445;12779
выбрать;15;322;0.052076100541591445;12794
таблица;15;323;0.052076100541591445;12809
валюта;15;324;0.052076100541591445;12824
булгаков;15;325;0.052076100541591445;12839
гвоздевский;15;326;0.052076100541591445;12854
сфера;15;327;0.052076100541591445;12869
economy;15;328;0.052076100541591445;12884
inflectional;15;329;0.052076100541591445;12899
rnc;15;330;0.052076100541591445;12914
common;15;331;0.052076100541591445;12929
first;15;332;0.052076100541591445;12944
pre;15;333;0.052076100541591445;12959
gpbft;15;334;0.052076100541591445;12974
начало;15;335;0.052076100541591445;12989
синоним;15;336;0.052076100541591445;13004
оператор;15;337;0.052076100541591445;13019
аналитик;15;338;0.052076100541591445;13034
смысловой;15;339;0.052076100541591445;13049
tangle;14;340;0.048604360505485354;13063
digital;14;341;0.048604360505485354;13077
use;14;342;0.048604360505485354;13091
характеристика;14;343;0.048604360505485354;13105
качество;14;344;0.048604360505485354;13119
thing;14;345;0.048604360505485354;13133
обучение;14;346;0.048604360505485354;13147
основать;14;347;0.048604360505485354;13161
ный;14;348;0.048604360505485354;13175
протокол;14;349;0.048604360505485354;13189
несколько;14;350;0.048604360505485354;13203
хэш;14;351;0.048604360505485354;13217
применяться;14;352;0.048604360505485354;13231
особенность;14;353;0.048604360505485354;13245
состоять;14;354;0.048604360505485354;13259
необходимый;14;355;0.048604360505485354;13273
high;14;356;0.048604360505485354;13287
практика;14;357;0.048604360505485354;13301
capacity;14;358;0.048604360505485354;13315
действие;14;359;0.048604360505485354;13329
деятельность;14;360;0.048604360505485354;13343
сравнение;14;361;0.048604360505485354;13357
конкретный;14;362;0.048604360505485354;13371
средний;14;363;0.048604360505485354;13385
language;14;364;0.048604360505485354;13399
main;14;365;0.048604360505485354;13413
level;14;366;0.048604360505485354;13427
moscow;14;367;0.048604360505485354;13441
etc;14;368;0.048604360505485354;13455
consistency;14;369;0.048604360505485354;13469
reply;14;370;0.048604360505485354;13483
соответствовать;14;371;0.048604360505485354;13497
символ;14;372;0.048604360505485354;13511
using;13;373;0.04513262046937925;13524
zhang;13;374;0.04513262046937925;13537
источник;13;375;0.04513262046937925;13550
работать;13;376;0.04513262046937925;13563
одноранговый;13;377;0.04513262046937925;13576
производительность;13;378;0.04513262046937925;13589
пример;13;379;0.04513262046937925;13602
требовать;13;380;0.04513262046937925;13615
необходимо;13;381;0.04513262046937925;13628
подтверждение;13;382;0.04513262046937925;13641
успешный;13;383;0.04513262046937925;13654
выполнить;13;384;0.04513262046937925;13667
ledger;13;385;0.04513262046937925;13680
business;13;386;0.04513262046937925;13693
самый;13;387;0.04513262046937925;13706
возможный;13;388;0.04513262046937925;13719
вознаграждение;13;389;0.04513262046937925;13732
создать;13;390;0.04513262046937925;13745
зависимость;13;391;0.04513262046937925;13758
dpos;13;392;0.04513262046937925;13771
efficiency;13;393;0.04513262046937925;13784
параметр;13;394;0.04513262046937925;13797
быстрый;13;395;0.04513262046937925;13810
награда;13;396;0.04513262046937925;13823
предлагать;13;397;0.04513262046937925;13836
grammar;13;398;0.04513262046937925;13849
natural;13;399;0.04513262046937925;13862
small;13;400;0.04513262046937925;13875
according;13;401;0.04513262046937925;13888
author;13;402;0.04513262046937925;13901
client;13;403;0.04513262046937925;13914
receives;13;404;0.04513262046937925;13927
архив;13;405;0.04513262046937925;13940
финансовый;13;406;0.04513262046937925;13953
feature;12;407;0.04166088043327316;13965
доверие;12;408;0.04166088043327316;13977
peer;12;409;0.04166088043327316;13989
связанный;12;410;0.04166088043327316;14001
